,2020,2021,2022
USA,0.4762090682050613,0.4754022587631247,0.49318454233371717
AUT,0.4120800412977873,0.6561081114300655,0.4895953916736359
BEL,0.16552809731767637,0.5730448962042567,0.5183156096791163
BGR,0.4055442260044497,0.38267119235329733,0.49966159158524465
CZE,0.33274245499028215,0.3487038925425046,0.5398329379872384
DNK,0.7102483641682134,0.7942475684720897,0.5176303061848464
FIN,0.6033242737342472,0.7075930107716165,0.49253678782460925
FRA,0.327949222531032,0.533050130217838,0.3915021830171614
DEU,0.5594613563640055,0.5892514933490943,0.48355630885199424
GRC,0.5154947147521101,0.6658447170523144,0.5242324625521791
HUN,0.39881320503754897,0.4572263920151174,0.5399212749737803
IRL,0.5325313156463742,0.6301510155924308,0.5717061705663178
ITA,0.22910280605573552,0.5832311755732189,0.49201422603319794
LTU,0.49342267467639456,0.5285399854231847,0.5388849423395584
LUX,0.5400192105237881,0.6533509956719367,0.6080107501382109
NLD,0.45898035754855415,0.602859687598396,0.5928883251281393
NOR,0.6321819251418523,0.7168620467968592,0.5916841394508414
POL,0.4200344284489845,0.5033116499714878,0.5824708016350602
PRT,0.42043586550855805,0.6276263880564276,0.5588174148085497
ROU,0.4726006278764641,0.40307801418049344,0.672442248465951
SVK,0.5161178009252307,0.32263733008073864,0.4489287039994163
SVN,0.3059779126906202,0.40174181759477456,0.4160436447866867
ESP,0.3233077774580773,0.5743157935581374,0.5210214056701115
SWE,0.4208668939952872,0.6481996312843571,0.5764679143933344
CHE,0.3916722649373464,0.6200509131895133,0.5358011311588051
GBR,0.31532832859667254,0.6234633410225235,0.58541116806992
